Tape_nr,Programtittel,Tid,Dato,Format,Innhold,Personer,Produsent,Rettigheter,Oppdragsgiver,Generasjon,Merknader,Column,Column 14,Column 15
2279,Berg-tatt.,00:14:58,Mon Nov 02 00:00:00 CET 1987,U-MaticLB,Steindag på Geologisk Museum,"Øystein Jansen, Hans Wraamann.",Gjartrud Kolaas,UMS,,Master,Nær-TV,,,
2281,Forvaltningsloven - enkeltvedtak.,,,U-MaticLB,Forvaltningsloven - enkeltvedtak.  En forelesning av professor Arvid Frihagen i forvaltningsrett nr. 4 i serien Offentligrettslige skrifter,Arvid Frihagen,Arnt Brandseth,Arvid Frihagen,Arvid Frihagen,Master,,,,
2284,Samtale med familie som har mistet en sønn/bror.,,Thu Jun 23 00:00:00 CEST 1988,U-MaticLB,Samtale med familie som har mistet en sønn/bror,Magne Raundalen,,Magne Raundalen,,Master,,,,
2285,På talefot med middelalderen.,,,U-MaticLB,På talefot med middelalderen.,Henrik von Achen,Gjartrud Kolaas,UMS,,Master,,,,
2286,Da alteret talte.,00:26:00,Fri Jan 01 00:00:00 CET 1988,U-MaticLB,"Historisk Museum i Bergen sin enestående samling av antemensaler. Programmet viser utviklingen av alterutsmykningen, hvordan antemensalene ble laget og hvordan kunstnere fra hele Europa påvirket hverandre.",Henrik von Achen,Gjartrud Kolaas,UMS,,Master,,,,
2287,Et barn er oss født,00:16:28,Fri Jan 01 00:00:00 CET 1988,U-MaticLB,Programmet er laget på Historisk Museum i Bergen og viser julens hendelser slik de ble framstilt på norske antemensaler på 12-1300 tallet. Antemensaler er malte bilder som stod på gulvet foran alteret i kirkene.,Henrik von Achen,Gjartrud Kolaas,UMS,,Master,,,,
2297,Jordskjelvstasjonen,00:10:20,Tue Oct 01 00:00:00 CET 1985,U-MaticLB,9/7 1905 målte seismografen i Bergen sitt første jordsjelv - måneder etterpå kom avismeldingene om jordsjelvet. Siden den gang er det blitt målt tusentalls rystelser ved stasjonen som i dag har fått nye oppgaver med overvåking.,"Tom Hetland, Markvard Sellevold, Jens Havskov.",Gjartrud Kolaas,UMS,,Dub,Nær-TV,,,
2298,Kvinner i ramme.,00:14:04,Tue May 26 00:00:00 CEST 1987,U-MaticLB,"En sosiologisk analyse av kjønnsrollemønsteret i norsk ukebladreklame i 1965, 1976, 1985. Videreføring av ""trenden"" i reklamebildet: Mer sex og vold. Norge er eneste land i verden som har lovfestet likestilling i reklame.","Marjan Flick, Elsa Almås, Jarle Indrøy, Enquete.",Gjartrud Kolaas,UMS,,Master,Nær-TV,,,
2308,EDB i språkopplæring,00:10:48,Thu Jan 01 00:00:00 CET 1987,U-MaticLB,"Bruk av datamaskiner er ikke bare begrenset til de harde fagene, også innenfor språkfagene blir EDB tatt i bruk. Nye dataprogram letter innøvingen av ord og uttrykk og den gamle gramatikkundervisningen blir avløst av dataprogram hvor studentene",Lise Oppdal,Arnt Brandseth,UMS,,Master,Nær-TV,,,
2326,Orknøyene.,00:03:00,Mon Jun 29 00:00:00 CEST 1987,U-MaticLB,Dagsrevyinnslag om Orknøyane,,Arnt Brandseth,UMS,,Master,NRK,,,
2399,Women framed?,00:14:04,,U-MaticLB,Women framed? (Kvinner i ramme) engelsk versjon.,Marjan Flick,Gjartrud Kolaas,UMS,,Dub,,,,
2400,"Herren er død, Herren lever! - Påsken i middelalderens billedkunst.",00:17:00,Fri Jan 01 00:00:00 CET 1988,U-MaticLB,Programmet er laget på Historisk Museum i Bergen og viser påskebudskapet slik det ble fremstilt på norske antemensaler på 12-1300 tallet. Antemensaler er malte bilder som sto på gulvet foran alteret i kirkene.,Henrich von Achen,Gjartrud Kolaas,UMS,,Master,,,,
2411,Mikrobiologi,,Wed Mar 08 00:00:00 CET 1989,U-MaticLB,Muggsopp og bakterier i ost. Familie rundt Frokostbord,"Ragnhild, Inge, Silje,",Gjartrud Kolaas,UMS,,Master,,,,
3000,Colonundersøkelse.,00:14:00,Thu Oct 11 00:00:00 CET 1979,U-MaticLB,"Colonundersøkelse, hjelpemidler, pasient, røntgen innvendig og utvendig.","Lege Karl Otto Olsen, Radiograf Sigrid Boge, Hjelpepleier Berit Bergheim",Lars Skjold Wilhelmsen,UMS,,Dub,"Kr 300,-",,,
3004,Om sminking for TV,00:20:00,Fri Oct 23 00:00:00 CET 1981,U-MaticLB,Sminking for TV-opptak. Videoseminar av Gerd K. Matthews,Kursdeltakere,Marianne Giske,UMS,,Master,,,,
3005,Alders demens.,00:27:00,Sun Jan 01 00:00:00 CET 1989,"1"" C",Alders demens,,Arnt Brandseth,Bergen Kommune,Bergen Kommune,Master,,,,
3006,Midt i synet - Noreka,00:12:10,Mon Jan 02 00:00:00 CET 1989,U-MaticLB,"NOREKA Utstilling i Galleriet ""Midt i synet""",,Victor Dahl,UMS,Noreka,Master,,,,
3007,"Levende jord, Living Earth",00:04:49,Mon Jan 02 00:00:00 CET 1989,"1"" C","NOREKA Levende Jord, Living Earth. Norsk versjon, engelsk versjon",,Arnt Brandseth,UMS,Noreka,Master,,,,
3009,Mandag eller juni i dag?,,Fri Jun 01 00:00:00 CEST 1990,BetacamSP,Mandag eller juni i dag? Alders demens.,,Arnt Brandseth,UMS,,Master,,,,
3012,Derfra gaae skibe.. Del 1: Byen blir til.,00:33:35,Wed Jan 29 00:00:00 CET 1986,U-MaticLB,Om bydannelse generelt og Bergens oppkomst spesielt. Presentasjon av en funksjons- og strukturmodell for byens oppkomst og utvikling. Drøfting av mulige årsaker til at det ble bydanning på Vågen. Behandler perioden 700 - 1200 e. kr.,Knut Helle.,Gjartrud Kolaas,UMS,,Master,Nær-TV,X Frode,,A1207
3013,Derfra gaae Skibe.. Del 2: Høymiddelalderbyen.,00:33:45,Wed Mar 05 00:00:00 CET 1986,U-MaticLB,"Om Bergen som høymiddelalderens rikshovedstad, europeisk handelsmetropol - og senter for kunst og kultur.  Behandler 1300-tallets bysamfunn.",Knut Helle.,Gjartrud Kolaas,UMS,,Master,Nær-TV,X Frode,,A1202
3014,Derfra gaae skibe.. Del 3: Hanseatenes by.,00:44:50,Wed Apr 09 00:00:00 CEST 1986,U-MaticLB,"Om hanseatenes virksomhet i Bergen gjennom 500 år. Bl.a. om hanseatenes handelsorganisasjon, sosiale liv og påvirkning på bysamfunnet.  Behandler perioden 1200-1700.",Knut Helle.,Gjartrud Kolaas,UMS,,Master,Nær-TV,X Frode,,A1201
3015,Derfra gaae Skibe.. Del 4: Borgerskapets by.,00:57:16,Wed May 07 00:00:00 CEST 1986,U-MaticLB,"Omhandler 1500- og 1600-tallets Bergen. En mulighetenes by med stor tilflytting fra utland og næroppland, men også en by med stor sosial uro og moralsk forfall. En tid hvor heksebålene lurer på Nordnes.",Anders Bjarne Fossen.,Arnt Brandseth,UMS,,Master,Nær-TV,X Frode,,A1205
3016,Derfra gaae Skibe.. Del 5: Kontrastenes by.,00:50:34,Wed Jun 04 00:00:00 CEST 1986,U-MaticLB,"Omhandler Bergens utvikling i enevoldstiden(1665-1814). En tid hvor de sterke kjøpmenn gjennom handelsprivilegier utkonkurrerer de små, og hvor store deler av byens innbyggere lever i nød og fattigdom. Vi møter Jørgen Thormøhlen, visekonge av St. Thomas.",Anders Bjarne Fossen.,Gjartrud Kolaas,UMS,,Master,Nær-TV,X Frode,,unr
3017,Derfra gaae Skibe.. Del 6: Byen og strilelandet.,00:36:38,Wed Aug 20 00:00:00 CEST 1986,U-MaticLB,"Programmet forsøker å klargjøre begrepet ""stril"". Vi får et innblikk i det særegne ved strilekulturen, og følger utviklingeni i forholdet mellomm  bymann og stril.  Omhandler perioden  ca. 1700 til vår egen tid.",Anders Bjarne Fossen.,Arnt Brandseth,UMS,,Master,Nær-TV,X Frode,,unr
