Ref,Programtittel,Lengde,Prod_dato,Arkivert,Format,Opptaksted,Innhold,Produsent_Regi,Oppdragsgiver,Emne,Personer,Rettigheter,Lyd,Foto,Arkivert_Billy
231.0,Fang og slipp,,2013.0,07.01.16,HD,Lofoten,"En studie har vist at turistene slipper ut mer enn halvparten av fangsten av noen arter. Bare for torsk tilsvarer dette mer enn en million fisk hvert eneste år. – Det har altså betydning for størrelsen på bestanden om torsken faktisk overlever og oppfører seg normalt etter at den er sluppet ut igjen, sier Keno Ferter; doktorgradsstudent på Havforskningsinstituttet og Universitetet i Bergen. http://forskning.no/fisk-fiskehelse/2015/01/torsk-taler-bli-sluppet-ut-igjen",,UiB,"Fang og slipp, Keno Ferter",Keno Ferter,UiB,Keno Ferter,Keno Ferter,
232.0,Den tunge arven,,2014.0,09.03.15,HD,"Bergen, Oslo","Fedmegen - Den tunge arven. Christina har vært overvektig hele livet, og er redd for å gi den tunge arven videre til sin datter Alma. Forskning viser nemlig at foreldrene bærer det største ansvaret for at hele 27 prosent av norske barn i dag har overvekt eller fedme. Men hvilken rolle spiller genene versus miljøet? Det skal forskere ved Universitetet i Bergen nå finne ut. Uib, Universitetet i Bergen, Norge, Norway, forskning, miljø, arv, Alma, gener, overvekt, fedme, Christina, Den tunge arven",Solrun Dregelid,UiB,Fedmegen. Den tunge arven,"Pål Rasmus Njølstad, Petur Benedikt Juliusson",UiB,Arnt Brandseth,Arnt Brandseth,
233.0,Fremtidens måleinstrument,,2014.0,09.03.15,HD,Bergen,"Fremtidens måleinstrument. ""Glideren"" erstatter 15 mann på tokt, og kan hente data fra områder som tidligere har vært utilgjengelige. Glider, tokt, måleinstrument, Fremtidens, Universitetet i Bergen, UiB, Marineholmen, University Of Bergen (Organizati, Peter Haugan, professor, Geofysisk institutt, NACO","Solrun Dregelid, Frode Ims",UiB,Fremtidens måleinstrument. NACO,Peter Haugan,UiB,Frode Ims,Frode Ims,
234.0,Norges beste biologiutdanning,,2014.0,19.03.15,HD,Bergen,Norges beste biologiutdanning. En ny app utviklet av en biologistudent ved UiB lar studentene identifisere planter og dyr i norsk natur. http://www.uib.no/aktuelt/82002/app-gjør-biologiutdanningen-mer-moderne,"Solrun Dregelid, Arnt Brandseth",UiB,Norges beste biologiutdanning,Vigdis Vandvik,UiB,Arnt Brandseth,Arnt Brandseth,
235.0,Norges beste biologiutdanning,,2014.0,19.03.15,HD,Svalbard,Det nye utdanningssenteret bioCEED skal bringe flere av UiBs biologistudenter ut i samfunnslivet og gjøre dem bedre rustet til å løse globale utfordringer.,Kim Andreassen,UiB,Norges beste biologiutdanning,Vigdis Vandvik,UiB,Kim Andreassen,Kim Andreassen,
236.0,Få en smak av grunnlovsutstillingen,,2014.0,09.10.15,HD,Få en smak av grunnlovsutstillingen,Er demokratiet truet? Hvilke rettigheter har du? Grunnlovsutstillingen på Universitetsmuseet vekker debatt. #UiB #Universitetet i Bergen #Bergen #demokrati #grunnlov #1814 #Universitetsmuseet #2014 #debatt #rettighete r#Jo Høyer,Solrun Drægelid,UiB,Få en smak av grunnlovsutstillingen,Jo Høyer,UiB,Frode Ims,Frode Ims,
237.0,Arbeidsuke - Infofilm om UiB,,2014.0,09.10.15,HD,Arbeidsuke - Infofilm om UiB,Simon Brandseth laget sammen med medelev en infofilm om UiB.,Simon Brandseth,UiB,Arbeidsuke - Infofilm om UiB,,UiB,Simon Brandseth,Simon Brandseth,
238.0,Christiekonferansen 2013,,2014.0,09.10.15,HD,Christiekonferansen 2013,"Åpningsfilm Christiekonferansen 2013 - Kunnskap fører til velferd – den finske metode. Finland bygger sin velferd på befolkningens hjernekraft. Hva har de gjort for å lykkes med det? Nærings-ph.d. - Gjennom å ta doktorgraden i en bedrift får stipendiatene et unikt erfaringsgrunnlag både fra akademia og næringslivet. Selmer og personnummeret - Prof. Ernst S. Selmer (1920-2006) var hjernen bak personnummeret som ble innført i 1964. Selmer var professor ved UiB i tiden 1957-1990. Her får du vite historien om tilblivelsen av dette nummersystemet. Studentersamfunnet – Christieprisens anvendelse - Se hva Studentersamfunnet, Christieprisvinnere 2012, har brukt prispengene til. Forskning i front - Forskere presenterer seg selv og sin forskning","Arnt Brandseth, Solrun Drægelid",UiB,Christiekonferansen 2013,,UiB,"Arnt Brandseth, Frode Ims","Arnt Brandseth, Frode Ims",
239.0,Christiekonferansen 2014 (Feil tittel?),,2014.0,09.10.15,HD,Christiekonferansen 2014,CK 2014 - Gentilpasset behandling - Therese Bruusgaard Greve er verdens første diabetesbarn som har byttet ut sprøyter med tabletter. CK 2014 - Frykten for fremtiden - Barn og ungdommer ved Olsvik skole forteller om hva de frykter skal skje i fremtiden. CK 2014 - Christieprisen 2013 – Bjerknessenteret for klimaforskning - Christieprisen 2013 gikk til Bjerknessenteret for klimaforskning. Se hva prispengene skal brukes til.,"Arnt Brandseth, Solrun Drægelid",UiB,Christiekonferansen 2014,,UiB,"Arnt Brandseth, Frode Ims","Arnt Brandseth, Frode Ims",
240.0,Christiekonferansen 2015 (Feil tittel?),,2014.0,09.10.15,HD,Christiekonferansen 2015,Eventyret Nordsjøen - Christiekonferansen 2015 - Nordsjøen har bidratt til nære bånd mellom Norge og Shetland – også etter vikingtiden. Landene rundt Nordsjøen har tilpasset seg endringer i tusener av år. Et hav av muligheter - Christiekonferansen 2015 - Slik vil Bergen stå i sentrum for havbruksrevolusjonen.,"Arnt Brandseth, Solrun Drægelid",UiB,Christiekonferansen 2015,,UiB,"Arnt Brandseth, Frode Ims","Arnt Brandseth, Frode Ims",
241.0,Forsker på havets ukjente liv,,2014.0,09.10.15,HD,ERC-Thingstad - Forsker på havets ukjente liv,Forsker på havets ukjente liv. I Espegrend utenfor Bergen manipuleres åtte kar med sjøvann til å bli økosystem i ubalanse. Slik vil forskerne finne ut hvordan systemet av mikroorganismer i havet henger sammen. Dette kan være viktig for å forstå havets evne til å håndtere forurensing.,"Frode Ims, Kjersti Gjengedal",UiB,Forsker på havets ukjente liv,Tron Frede Thingstad,UiB,Frode Ims,Frode Ims,
242.0,"Fadderuken 2013, Semesteråpning 2013",,2014.0,09.10.15,HD,"Fadderuken 2013, Semesteråpning 2013",Semesteråpning 2013 Enquête - studenter som svarer på hvorfor de valgte UiB og hvilke forventninger de har til studenttilværelsen ved universitetet. Fadderuken 2013 - Stemningsrapport fra Fadderuken 2013 ved Univiersitetet i Bergen.,"Arnt Brandseth, Kim Andreassen",UiB,"Fadderuken 2013, Semesteråpning 2013",,UiB,"Arnt Brandseth, Frode Ims","Arnt Brandseth, Frode Ims",
243.0,Grunnlovskonsert i Korskirken,,2014.0,09.10.15,HD,Grunnlovskonsert i Korskirken,Grunnlovskonsert i Korskirken. Høydepunkter fra markeringen av grunnlovsjubileet i Korskirken.,"Håvard Holme, Solrun Drægelid",UiB,Grunnlovskonsert i Korskirken,,UiB,Håvard Holme,Håvard Holme,
244.0,Ledersamling 2014 - UiB 2022,,2014.0,09.10.15,HD,Ledersamling 2014 - UiB 2022,Ledersamling 2014 - UiB 2022,Frode Ims,UiB,Ledersamling 2014 - UiB 2022,,UiB,Frode Ims,Frode Ims,
245.0,"Epigenetics: myths, mysteries and molecules",,2014.0,09.10.15,HD,"Epigenetics: myths, mysteries and molecules","Epigenetics: myths, mysteries and molecules. Leonie Ringrose`s talk in our Horizon lecture series",,UiB,"Epigenetics: myths, mysteries and molecules",Leonie Ringrose,UiB,,,
